username, created_at, lng, lat, text
callenaj, Mon Apr 20 04:04:25 +0000 2020, -117.643819, 33.551386, #SanClemente after the protests hours earlier. Wild times https://t.co/HBGfWCLVnJ 
Dirty_Dan024, Mon Apr 20 04:04:25 +0000 2020, -98.152419, 26.347525, @cynthiaceciliaa Totally depends on what you use it for. I ready like the fitness tracking 
_TraceDollFace_, Mon Apr 20 04:04:25 +0000 2020, -73.831187, 40.670879, Who gave her the mic 😩😩😩 #TheClarkSisters 
dearabbie, Mon Apr 20 04:04:25 +0000 2020, -118.411907, 34.020789, @theCindyCarcamo @ElPolloLoco @secretstan It’s come to this! 
CharlieStrombrg, Mon Apr 20 04:04:25 +0000 2020, -77.604684, 41.117936, @Noahpinion They are boring for like 95% of the population. And really lousy for the other 5%. 
DannyBoy76Baby, Mon Apr 20 04:04:25 +0000 2020, -100.076888, 31.168893, Once someone new get in my ear I start acting differently....I be on whatever they on.... 
JewstinKent, Mon Apr 20 04:04:25 +0000 2020, -122.066473, 37.715782, All of Blazers Twitter while watching #TheLastDance : 
MrNaassir, Mon Apr 20 04:04:25 +0000 2020, -73.831187, 40.670879, https://t.co/XCgo8SAhJ1 
DavidWHeinlein, Mon Apr 20 04:04:26 +0000 2020, -71.270615, 42.241725, @TJay @ROSGO21 Scoreboard! 🤣 
NChandarlis, Mon Apr 20 04:04:26 +0000 2020, -97.935192, 29.895606, @AbrielGarcia17 i might not go out much now, but you should have seen me in college 
blondieaubrey, Mon Apr 20 04:04:26 +0000 2020, -86.441236, 39.766555, https://t.co/lG6EzjXpoW 
J_PriceSC, Mon Apr 20 04:04:26 +0000 2020, -77.014398, 38.898603, @scum_li @CharminglyWeird Would have had to put them 🐾 on him. 
jvbt82hhs, Mon Apr 20 04:04:26 +0000 2020, -86.409610, 35.847420, Turn a blind eye... #BestWaysToIgnoreSomeone 
mikixann, Mon Apr 20 04:04:26 +0000 2020, -74.111971, 40.792200, @aianao This is insane 🤩 
dubstepslvt, Mon Apr 20 04:04:26 +0000 2020, -122.630908, 45.536402, @lilcannabish @DrewGriffith96 I might be able to see behind but You know you can always find me on the rail lol it’… https://t.co/HUfX1gyVYB 
fuckriqo, Mon Apr 20 04:04:26 +0000 2020, -117.462698, 34.108160, make sure the person is gullible first, most ppl are too smart to even hear ya out but if you scope for the slower… https://t.co/YRKO3EwtD7 
Erniesoliz1, Mon Apr 20 04:04:26 +0000 2020, -98.540651, 29.417501, @chuckwoolery Wear the mask. Let's go 
A_ron907, Mon Apr 20 04:04:26 +0000 2020, -105.550890, 38.997936, @ThatIceRocker Panic by From Ashes To New 
ufobusterradio, Mon Apr 20 04:04:26 +0000 2020, -98.540651, 29.417501, @roswellhotsauce Yes. Well the hotels are booked and the coordinators say it will still go down July the 4th weeken… https://t.co/AP5Qrp8WWE 
urbichzoi, Mon Apr 20 04:04:26 +0000 2020, -118.411907, 34.020789, @angsaenz4 Yes!!!!! 
oncumming, Mon Apr 20 04:04:26 +0000 2020, -75.501572, 39.099745, they don’t go get an education (or they blow it). they don’t get a job, start a career, invest in theirselves, no.… https://t.co/2xQghzNUZI 
skylerjohnson32, Mon Apr 20 04:04:26 +0000 2020, -119.165389, 34.181956, Yeah you right that’s why it’s hard to really say who the BEST is, Back then defense was different 
SarahAM75, Mon Apr 20 04:04:26 +0000 2020, -93.166616, 44.818478, I already know. This time is a gift. Exercise, be creative, finish your to do list, spend more time with your kids… https://t.co/AFbQuYd1CE 
DJGENERALMEALZ, Mon Apr 20 04:04:26 +0000 2020, -96.699604, 33.194651, Whoa! Too much dip on your chip. LeBron only won Twice in Miami. And you're correct, Rodman was traded just like Ke… https://t.co/jmG82lazLm 
MarleneMoeee, Mon Apr 20 04:04:27 +0000 2020, -118.411907, 34.020789, Bailando aqui sola es major que con El Diablo 
coachwi1l, Mon Apr 20 04:04:27 +0000 2020, -86.680738, 32.576227, @CoachPapJudsonU @kmay58 Even the stuff you want to study gets confusing. Never knew there were so many ways to run… https://t.co/jmtipZSXR4 
sidney_kaye, Mon Apr 20 04:04:27 +0000 2020, -105.123320, 39.685852, @Wtf_JT Fuck me uppppppp 
Binkyboiiii, Mon Apr 20 04:04:27 +0000 2020, -123.279343, 44.569246, Catch me binkin around town on a Tuesday night once this quarantine is over 
yatttaken, Mon Apr 20 04:04:27 +0000 2020, -118.411907, 34.020789, @cali_kalypso That’s it you’re blocked 
Sanchez9630, Mon Apr 20 04:04:27 +0000 2020, -80.112656, 27.051966, Yo consiento así. 👨🏻‍🍳⚡🤗 https://t.co/PtF4I8ERVm 
HiredAndFiredUp, Mon Apr 20 04:04:27 +0000 2020, -76.620482, 39.284713, 😂😂😂😂😂😂 
TheRealRedmack, Mon Apr 20 04:04:27 +0000 2020, -82.573675, 27.473975, xl 
M_Millette, Mon Apr 20 04:04:27 +0000 2020, -79.272570, 43.629311, Such a senseless tragedy. Sending so much love to Nova Scotia. 💔 
JMKIII58, Mon Apr 20 04:04:27 +0000 2020, -87.322169, 36.550984, WOW!!! What a scene #Westworld 
Drugs_Text_Sex, Mon Apr 20 04:04:27 +0000 2020, -84.563414, 33.811316, @TheeLuxxSOCIAL Idek 
JESullie1220, Mon Apr 20 04:04:27 +0000 2020, -119.636189, 36.830799, My pun game &gt; yours https://t.co/aNvGYH3Fqj 
DTHEDOMINICAN, Mon Apr 20 04:04:27 +0000 2020, -71.812438, 42.275760, Girls stop being friends and then one of them always goes and dates one of the others Ex’s 💀 
ZanyCatLady, Mon Apr 20 04:04:27 +0000 2020, -79.347762, 42.481701, @Bossportsislife Lol, been doing it for a month now I'd rather be sitting at work time goes by faster! 
ddinycca, Mon Apr 20 04:04:27 +0000 2020, -93.756100, 41.636688, @PressSec @realDonaldTrump To China..... 
omgitzdestineex, Mon Apr 20 04:04:27 +0000 2020, -70.779705, 43.438672, Flea.. both are incredible.. but this is false. 
vivalavoices, Mon Apr 20 04:04:27 +0000 2020, -93.361321, 46.441861, Patrick Henry urging US colonies to revolt against England and raise troops to fight in American Revolutionary war;… https://t.co/97xCvWZviJ 
Cascene, Mon Apr 20 04:04:28 +0000 2020, -121.796444, 37.985661, @timkawakami They did @ScottiePippen wrong. He had a right to be pissed. 
RockyTwyman, Mon Apr 20 04:04:28 +0000 2020, -77.163103, 39.087055, APRIL 20-27 IS NATIONAL APPRECIATION WEEK FOR GOVERNORS OF STAY AT HOME STATES! SEND MESSAGES OF LOVE TO STATE WEBS… https://t.co/9pb3qVyHF0 
salazarallday, Mon Apr 20 04:04:28 +0000 2020, -104.935849, 40.160554, @CecilLammey ✊🏽✊🏽✊🏽 
mike_jagassar, Mon Apr 20 04:04:28 +0000 2020, -79.272570, 43.629311, I feel for grades 12 man.  Prom... Wasaga... Grad... the last few months of grade 12 were some of the best times of… https://t.co/OokSJ9tEI7 
SDbrownjedi, Mon Apr 20 04:04:28 +0000 2020, -117.104989, 32.810012, @ChargersUnion I dig it! If Forest can stay healthy, it’s solid 
aahil_makhani, Mon Apr 20 04:04:28 +0000 2020, -85.491540, 32.597245, @whvteverforever thinking black pepper is spicy 
LaVerguero, Mon Apr 20 04:04:28 +0000 2020, -105.550890, 38.997936, @caro_pertuz91 Jajajaja abrazo bb 😍 
twenty1g, Mon Apr 20 04:04:28 +0000 2020, -73.948775, 40.655138, Can’t sleep too busy thinking about Harry’s sausage nipples from Too hot to handle 
iamericcano, Mon Apr 20 04:04:28 +0000 2020, -74.066663, 40.718001, 90s Ski Fits very on point. From Ski School (1991). https://t.co/XIHL5cN0ci 
AustinWakeham, Mon Apr 20 04:04:28 +0000 2020, -97.463645, 35.327468, @joshteeter01 @BrandonHartung Who you thinking moves on? 
1httpscc, Mon Apr 20 04:04:28 +0000 2020, -95.446486, 29.838495, @alyehscordon get it.. hehe https://t.co/XdsKF6cmRG 
DetroitMade94, Mon Apr 20 04:04:28 +0000 2020, -104.922093, 39.713563, @chicagobulls y’all owe Scottie some money 
